productName,productGroup,productSubGroup,productSubGroupPrefix,productNameComputed,HamaliPerBag,PlatformCooliPerBag,KataCooliPerBag,MamulluPerBag,MonthlyRentPerBag,YearlyRentPerBag,Insurance,ProductGroup,YearlyRentPerKg,BagSize
Tamarind-Chapathi 20Kg Bags,Tamarind,Chapathi,Tamarind (Chapathi),Tamarind (Chapathi)20Kg Bags,6,2.82,3.4,2,6,25,0,Tamarind,1.25,20
Tamarind-Chapathi 25Kg Bags,Tamarind,Chapathi,Tamarind (Chapathi),Tamarind (Chapathi)25Kg Bags,7.5,3.53,4.25,2.5,7.5,31.25,0,Tamarind,1.25,25
Tamarind-Chikkulu 10Kg Bags,Tamarind,Chikkulu,Tamarind (Chikkulu),Tamarind (Chikkulu)10Kg Bags,3,1.41,1.73,1,3,12.5,0,Tamarind,1.25,10
Tamarind-Chikkulu 24Kg Bags,Tamarind,Chikkulu,Tamarind (Chikkulu),Tamarind (Chikkulu)24Kg Bags,7.2,3.38,4.08,2.4,7.2,30,0,Tamarind,1.25,24
Tamarind-Chikkulu 30Kg Bags,Tamarind,Chikkulu,Tamarind (Chikkulu),Tamarind (Chikkulu)30Kg Bags,9,4.23,5.1,3,9,37.5,0,Tamarind,1.25,30
Tamarind-Chikkulu 40Kg Bags,Tamarind,Chikkulu,Tamarind (Chikkulu),Tamarind (Chikkulu)40Kg Bags,12,5.64,10.4,5,12,50,0,Tamarind,1.25,40
Tamarind-Chikkulu 50Kg Bags,Tamarind,Chikkulu,Tamarind (Chikkulu),Tamarind (Chikkulu)50Kg Bags,15,7.05,10.4,5,15,62.5,0,Tamarind,1.25,50
Tamarind-Chikkulu 60Kg Bags,Tamarind,Chikkulu,Tamarind (Chikkulu),Tamarind (Chikkulu)60Kg Bags,18,8.46,10.4,5,18,75,0,Tamarind,1.25,60
Tamarind-Deasavali 40Kg Bags,Tamarind,Deasavali,Tamarind (Deasavali),Tamarind (Deasavali)40Kg Bags,12,5.64,10.4,5,12,50,0,Tamarind,1.25,40
Tamarind-Desavali 10Kg Boxes,Tamarind,Deasavali,Tamarind (Deasavali),Tamarind (Deasavali)10Kg Bags,3,1.41,1.73,1,3,12.5,0,Tamarind,1.25,10
Tamarind-Desavali 30Kg Bags,Tamarind,Deasavali,Tamarind (Deasavali),Tamarind (Deasavali)30Kg Bags,9,4.23,5.1,3,9,37.5,0,Tamarind,1.25,30
Tamarind-Desavali 5Kg Bags,Tamarind,Deasavali,Tamarind (Deasavali),Tamarind (Deasavali)5Kg Bags,1.5,0.72,0.85,0.5,1,6.25,0,Tamarind,1.25,5
Tamarind-Flower 15Kg Bags,Tamarind,Flower,Tamarind (Flower),Tamarind (Flower)15Kg Bags,4.5,2.12,2.5,1.5,4.5,18.75,0,Tamarind,1.25,15
Tamarind-Flower 25Kg Bags,Tamarind,Flower,Tamarind (Flower),Tamarind (Flower)25Kg Bags,7.5,3.53,4.25,2.5,7.5,31.25,0,Tamarind,1.25,25
Tamarind-Flower 30Kg Bags,Tamarind,Flower,Tamarind (Flower),Tamarind (Flower)30Kg Bags,9,4.23,5.1,3,9,37.5,0,Tamarind,1.25,30
Tamarind-Hyd-Pala 15Kg Bags,Tamarind,Hyd-Pala,Tamarind (Hyd-Pala),Tamarind (Hyd-Pala)15Kg Bags,4.5,2.12,2.5,1.5,4.5,18.75,0,Tamarind,1.25,15
Tamarind-JUICE 15Kg Bags,Tamarind,Juice,Tamarind (Juice),Tamarind (Juice)15Kg Bags,4.5,2.12,2.5,1.5,4.5,18,0,Tamarind,1.25,15
Tamarind-Karipuli 10Kg Bags,Tamarind,Karipuli,Tamarind (Karipuli),Tamarind (Karipuli)10Kg Bags,3,1.41,1.73,1,3,12.5,0,Tamarind,1.25,10
Tamarind-Karipuli 15Kg Bags,Tamarind,Karipuli,Tamarind (Karipuli),Tamarind (Karipuli)15Kg Bags,4.5,2.12,2.5,1.5,4.5,18.75,0,Tamarind,1.25,15
Tamarind-Karipuli 25Kg Bags,Tamarind,Karipuli,Tamarind (Karipuli),Tamarind (Karipuli)25Kg Bags,7.5,3.53,4.25,2.5,7.5,31.25,0,Tamarind,1.25,25
Tamarind-Karipuli 30Kg Bags,Tamarind,Karipuli,Tamarind (Karipuli),Tamarind (Karipuli)30Kg Bags,9,4.23,5.1,3,9,37.5,0,Tamarind,1.25,30
Tamarind-Mudda 10Kg Bags,Tamarind,Mudda,Tamarind (Mudda),Tamarind (Mudda)10Kg Bags,3,1.41,1.73,1,3,12.5,0,Tamarind,1.25,10
Tamarind-Mudda 22Kg Bags,Tamarind,Mudda,Tamarind (Mudda),Tamarind (Mudda)22Kg Bags,6.6,3.1,3.74,2.2,6.6,27.5,0,Tamarind,1.25,22
Tamarind-Mudda 30Kg Bags,Tamarind,Mudda,Tamarind (Mudda),Tamarind (Mudda)30Kg Bags,9,4.23,5.1,3,9,37.5,0,Tamarind,1.25,30
Tamarind-Mudda 40Kg Bags,Tamarind,Mudda,Tamarind (Mudda),Tamarind (Mudda)40Kg Bags,12,5.64,10.4,5,12,50,0,Tamarind,1.25,40
Tamarind-Mudda 50Kg Bags,Tamarind,Mudda,Tamarind (Mudda),Tamarind (Mudda)50Kg Bags,15,7.05,10.4,5,15,62.5,0,Tamarind,1.25,50
Tamarind-Mysore 15Kg Bags,Tamarind,Mysore,Tamarind (Mysore),Tamarind (Mysore)15Kg Bags,4.5,2.12,2.5,1.5,4.5,18.75,0,Tamarind,1.25,15
Tamarind-Mysore 30Kg Bags,Tamarind,Mysore,Tamarind (Mysore),Tamarind (Mysore)30Kg Bags,9,4.23,5.1,3,9,37.5,0,Tamarind,1.25,30
Tamarind-Nagari 15Kg Bags,Tamarind,Nagari,Tamarind (Nagari),Tamarind (Nagari)15Kg Bags,4.5,2.12,2.5,1.5,4.5,18.75,0,Tamarind,1.25,15
Tamarind-Nagari 30Kg Bags,Tamarind,Nagari,Tamarind (Nagari),Tamarind (Nagari)30Kg Bags,9,4.23,5.1,3,9,37.5,0,Tamarind,1.25,30
Tamarind-Pala 15Kg Bags,Tamarind,Pala,Tamarind (Pala),Tamarind (Pala)15Kg Bags,4.5,2.12,2.5,1.5,4.5,18.75,0,Tamarind,1.25,15
Tamarind-Pala 30Kg Bags,Tamarind,Pala,Tamarind (Pala),Tamarind (Pala)30Kg Bags,9,4.23,5.1,3,9,37.5,0,Tamarind,1.25,30
Tamarind-Palta 15Kg Bags,Tamarind,Palta,Tamarind (Palta),Tamarind (Palta)15Kg Bags,4.5,2.12,2.5,1.5,4.5,18.75,0,Tamarind,1.25,15
Tamarind-Tita 10Kg Bags,Tamarind,Tita,Tamarind (Tita),Tamarind (Tita)10Kg Bags,3,1.41,1.73,1,3,12.5,0,Tamarind,1.25,10
