"deliveryId","lodgementId","Delivery Date","Lot Number","Delivered Bags","Balance Bags","Months Lodged","Total Charges Paid","Rent Receivable on Delivered Bags"
"6433da348a12e9ad0dd6b95e","643373178a12e9ad0d2fa453","30/06/2021","4571/201","10","101","0 Months","115","0"
"6433da348a12e9ad0dd6b95f","643373178a12e9ad0d2fa453","05/07/2021","4571/201","1","100","0 Months","10","0"
"6433da348a12e9ad0dd6b960","643373178a12e9ad0d2fa453","09/07/2021","4571/201","1","99","0 Months","10","0"
"6433da348a12e9ad0dd6b961","643373178a12e9ad0d2fa453","23/07/2021","4571/201","1","98","0 Months","10","0"
"6433da348a12e9ad0dd6b962","643373178a12e9ad0d2fa453","29/07/2021","4571/201","1","97","0 Months","10","0"
"6433da348a12e9ad0dd6b963","643373178a12e9ad0d2fa453","02/08/2021","4571/201","1","96","0 Months","10","0"
"6433da348a12e9ad0dd6b964","643373178a12e9ad0d2fa453","05/08/2021","4571/201","1","95","0 Months","10","0"
"6433da348a12e9ad0dd6b965","643373178a12e9ad0d2fa453","14/08/2021","4571/201","1","94","0 Months","10","0"
"6433da348a12e9ad0dd6b966","643373178a12e9ad0d2fa453","16/08/2021","4571/201","2","92","0 Months","20","0"
"6433da348a12e9ad0dd6b967","643373178a12e9ad0d2fa453","18/08/2021","4571/201","1","91","0 Months","10","0"
"6433da348a12e9ad0dd6b968","643373178a12e9ad0d2fa453","23/08/2021","4571/201","1","90","0 Months","10","0"
"6433da348a12e9ad0dd6b969","643373178a12e9ad0d2fa453","26/08/2021","4571/201","1","89","0 Months","10","0"
"6433da348a12e9ad0dd6b96a","643373178a12e9ad0d2fa453","26/08/2021","4571/201","6","83","0 Months","70","0"
"6433da348a12e9ad0dd6b96b","643373178a12e9ad0d2fa453","27/08/2021","4571/201","1","82","0 Months","10","0"
"6433da348a12e9ad0dd6b96c","643373178a12e9ad0d2fa453","03/09/2021","4571/201","1","81","0 Months","10","0"
"6433da348a12e9ad0dd6b96d","643373178a12e9ad0d2fa453","08/09/2021","4571/201","1","80","0 Months","10","0"
"6433da348a12e9ad0dd6b96e","643373178a12e9ad0d2fa453","11/09/2021","4571/201","6","74","0 Months","70","0"
"6433da348a12e9ad0dd6b96f","643373178a12e9ad0d2fa453","20/09/2021","4571/201","1","73","0 Months","10","0"
"6433da348a12e9ad0dd6b970","643373178a12e9ad0d2fa453","22/09/2021","4571/201","6","67","0 Months","70","0"
"6433da348a12e9ad0dd6b971","643373178a12e9ad0d2fa453","04/10/2021","4571/201","1","66","0 Months","10","0"
"6433da348a12e9ad0dd6b972","643373178a12e9ad0d2fa453","11/10/2021","4571/201","1","65","0 Months","10","0"
"6433da348a12e9ad0dd6b973","643373178a12e9ad0d2fa453","21/10/2021","4571/201","1","64","0 Months","10","0"
"6433da348a12e9ad0dd6b974","643373178a12e9ad0d2fa453","25/10/2021","4571/201","6","58","0 Months","70","0"
"6433da348a12e9ad0dd6b975","643373178a12e9ad0d2fa453","03/11/2021","4571/201","1","57","0 Months","10","0"
"6433da348a12e9ad0dd6b976","643373178a12e9ad0d2fa453","05/11/2021","4571/201","1","56","0 Months","10","0"
"6433da348a12e9ad0dd6b977","643373178a12e9ad0d2fa453","08/11/2021","4571/201","1","55","0 Months","0","0"
"6433da348a12e9ad0dd6b978","643373178a12e9ad0d2fa453","11/11/2021","4571/201","5","50","0 Months","55","0"
"6433da348a12e9ad0dd6b979","643373178a12e9ad0d2fa453","14/11/2021","4571/201","1","49","0 Months","10","0"
"6433da348a12e9ad0dd6b97a","643373178a12e9ad0d2fa453","22/11/2021","4571/201","1","48","0 Months","10","0"
"6433da348a12e9ad0dd6b97b","643373178a12e9ad0d2fa453","22/11/2021","4571/201","2","46","0 Months","20","0"
"6433da348a12e9ad0dd6b97c","643373178a12e9ad0d2fa453","24/11/2021","4571/201","8","38","0 Months","90","0"
"6433da348a12e9ad0dd6b97d","643373178a12e9ad0d2fa453","25/11/2021","4571/201","1","37","0 Months","10","0"
"6433da348a12e9ad0dd6b97e","643373178a12e9ad0d2fa453","02/12/2021","4571/201","1","36","0 Months","10","0"
"6433da348a12e9ad0dd6b97f","643373178a12e9ad0d2fa453","06/12/2021","4571/201","10","26","0 Months","115","0"
"6433da348a12e9ad0dd6b980","643373178a12e9ad0d2fa453","10/12/2021","4571/201","1","25","0 Months","10","0"
"6433da348a12e9ad0dd6b981","643373178a12e9ad0d2fa453","16/12/2021","4571/201","1","24","0 Months","10","0"
"6433da348a12e9ad0dd6b982","643373178a12e9ad0d2fa453","23/12/2021","4571/201","1","23","0 Months","10","0"
"6433da348a12e9ad0dd6b983","643373178a12e9ad0d2fa453","27/12/2021","4571/201","1","22","0 Months","10","0"
"6433da348a12e9ad0dd6b984","643373178a12e9ad0d2fa453","30/12/2021","4571/201","1","21","0 Months","15","0"
"6433da348a12e9ad0dd6b985","643373178a12e9ad0d2fa453","10/01/2022","4571/201","1","20","0 Months","10","0"
"6433da348a12e9ad0dd6b986","643373178a12e9ad0d2fa453","13/01/2022","4571/201","2","18","0 Months","20","0"
"6433da348a12e9ad0dd6b987","643373178a12e9ad0d2fa453","15/01/2022","4571/201","10","8","0 Months","150","0"
"6433da348a12e9ad0dd6b988","643373178a12e9ad0d2fa453","27/01/2022","4571/201","8","0","0 Months","90","0"
"6433da348a12e9ad0dd6b989","643373178a12e9ad0d2fa454","31/03/2020","4892/739","34","705","0 Months","0","0"
"6433da348a12e9ad0dd6b98a","643373178a12e9ad0d2fa454","05/10/2020","4892/739","40","665","0 Months","146","0"
"6433da348a12e9ad0dd6b98b","643373178a12e9ad0d2fa454","11/10/2020","4892/739","40","625","0 Months","147","0"
"6433da348a12e9ad0dd6b98c","643373178a12e9ad0d2fa454","16/10/2020","4892/739","60","565","0 Months","220","0"
"6433da348a12e9ad0dd6b98d","643373178a12e9ad0d2fa454","19/10/2020","4892/739","30","535","0 Months","110","0"
